quarter|time|home action|score|diff|away action
Q4|4:51|10 JESSUP J. 3PtsFG made, 4 RATHAN-MAYES X. Assist|87-69|+18|
Q4|4:29|1 DA SILVA O. Substitute out, 8 KRATZER L. Substitute in|||
Q4|4:29|5 GIFFEY N. Substitute out, 22 MIKE I. Substitute in|||5 CARTER C. Substitute out, 0 DUNN-MARTIN T. Substitute in
Q4|4:29||||36 KRAUSE K. Substitute out, 13 BRAXTON JR K. Substitute in
Q4|4:27|11 LUCIC V. Defensive rebound|||0 DUNN-MARTIN T. 2PtsFG outside paint, Jump shot missed
Q4|4:08||||33 WASHINGTON E. Personal foul, 2 free throws awarded (P3,T5)
Q4|4:08|10 JESSUP J. Foul drawn|||
Q4|4:08|10 JESSUP J. Free Throw made 1 of 2|88-69|+19|
Q4|4:08|10 JESSUP J. Free Throw made 2 of 2|89-69|+20|
Q4|3:45|11 LUCIC V. Steal|||1 OSOBOR G. Turnover, Ball handling
Q4|3:35|4 RATHAN-MAYES X. 2PtsFG Inside paint, Lay-up made|91-69|+22|
Q4|3:23|22 MIKE I. Defensive rebound|||1 OSOBOR G. 2PtsFG inside paint, Lay-up missed
Q4|3:08|10 JESSUP J. 3PtsFG missed|||33 WASHINGTON E. Defensive rebound
Q4|2:58|8 KRATZER L. Personal foul (P3,T3)|||33 WASHINGTON E. Foul drawn
Q4|2:58|4 RATHAN-MAYES X. Substitute out, 44 BALDWIN K. Substitute in|||1 OSOBOR G. Substitute out, 25 BANK L. Substitute in
Q4|2:58||||33 WASHINGTON E. Substitute out, 36 KRAUSE K. Substitute in
Q4|2:46||||15 BOHANNON N. Offensive foul (P5,T6)
Q4|2:46|44 BALDWIN K. Foul drawn|||
Q4|2:46||||15 BOHANNON N. Substitute out, 41 HERRERA A. Substitute in
Q4|2:46||||13 BRAXTON JR K. Substitute out, 77 BIEL D. Substitute in
Q4|2:39|44 BALDWIN K. Turnover, Travelling|||
Q4|2:39|10 JESSUP J. Substitute out, 30 SERMPEZIS N. Substitute in|||
Q4|2:21||91-72|+19|0 DUNN-MARTIN T. 3Pts FG made
Q4|1:53|11 LUCIC V. Foul drawn|||36 KRAUSE K. Personal foul, 2 free throws awarded (P2, T7)
Q4|1:53|8 KRATZER L. Substitute out, 17 FISCHER K. Substitute in|||
Q4|1:53|11 LUCIC V. Free Throw made 1 of 2|92-72|+20|
Q4|1:53|11 LUCIC V. Free Throw made 2 of 2|93-72|+21|
Q4|1:53|11 LUCIC V. Substitute out, 35 KODJOE N. Substitute in|||
Q4|1:35|22 MIKE I. Defensive rebound|||77 BIEL D. 3PtsFG missed
Q4|1:17|35 KODJOE N. 2Pts FG outside paint, Jump shot missed|||25 BANK L. Defensive rebound
Q4|1:12|22 MIKE I. Personal foul (P2,T4)|||
Q4|1:12||||0 DUNN-MARTIN T. Foul drawn
